#id	fr	x	y	z
1	65	0.0043	1.6605	0.0000
1	66	0.0245	1.6580	0.0000
1	67	0.0467	1.6553	0.0000
1	68	0.0675	1.6516	0.0000
1	69	0.0896	1.6480	0.0000
1	70	0.1118	1.6435	0.0000
1	71	0.1333	1.6393	0.0000
1	72	0.1552	1.6363	0.0000
1	73	0.1768	1.6334	0.0000
1	74	0.1961	1.6314	0.0000
1	75	0.2153	1.6311	0.0000
1	76	0.2319	1.6320	0.0000
1	77	0.2486	1.6343	0.0000
1	78	0.2626	1.6362	0.0000
1	79	0.2766	1.6371	0.0000
1	80	0.2905	1.6370	0.0000
1	81	0.3043	1.6359	0.0000
1	82	0.3198	1.6337	0.0000
1	83	0.3362	1.6317	0.0000
1	84	0.3540	1.6292	0.0000
1	85	0.3720	1.6265	0.0000
1	86	0.3901	1.6248	0.0000
1	87	0.4088	1.6234	0.0000
1	88	0.4263	1.6224	0.0000
1	89	0.4462	1.6220	0.0000
1	90	0.4667	1.6251	0.0000
1	91	0.4881	1.6315	0.0000
1	92	0.5117	1.6398	0.0000
1	93	0.5363	1.6479	0.0000
1	94	0.5622	1.6550	0.0000
1	95	0.5900	1.6606	0.0000
1	96	0.6194	1.6654	0.0000
1	97	0.6501	1.6687	0.0000
1	98	0.6816	1.6701	0.0000
1	99	0.7156	1.6685	0.0000
1	100	0.7480	1.6648	0.0000
1	101	0.7807	1.6586	0.0000
1	102	0.8140	1.6503	0.0000
1	103	0.8459	1.6417	0.0000
1	104	0.8804	1.6323	0.0000
1	105	0.9147	1.6228	0.0000
1	106	0.9497	1.6154	0.0000
1	107	0.9854	1.6134	0.0000
1	108	1.0220	1.6166	0.0000
1	109	1.0560	1.6217	0.0000
1	110	1.0886	1.6265	0.0000
1	111	1.1188	1.6322	0.0000
1	112	1.1477	1.6379	0.0000
1	113	1.1764	1.6418	0.0000
1	114	1.2034	1.6426	0.0000
1	115	1.2317	1.6408	0.0000
1	116	1.2596	1.6373	0.0000
1	117	1.2884	1.6329	0.0000
1	118	1.3177	1.6274	0.0000
1	119	1.3502	1.6222	0.0000
1	120	1.3830	1.6180	0.0000
1	121	1.4188	1.6167	0.0000
1	122	1.4561	1.6180	0.0000
1	123	1.4949	1.6255	0.0000
1	124	1.5356	1.6369	0.0000
1	125	1.5759	1.6462	0.0000
1	126	1.6149	1.6536	0.0000
1	127	1.6561	1.6608	0.0000
1	128	1.6931	1.6646	0.0000
1	129	1.7302	1.6666	0.0000
1	130	1.7672	1.6675	0.0000
1	131	1.8025	1.6664	0.0000
1	132	1.8352	1.6628	0.0000
1	133	1.8682	1.6572	0.0000
1	134	1.8969	1.6489	0.0000
1	135	1.9260	1.6400	0.0000
1	136	1.9538	1.6312	0.0000
1	137	1.9827	1.6221	0.0000
1	138	2.0106	1.6148	0.0000
1	139	2.0403	1.6136	0.0000
1	140	2.0697	1.6173	0.0000
1	141	2.0995	1.6223	0.0000
1	142	2.1288	1.6268	0.0000
1	143	2.1584	1.6315	0.0000
1	144	2.1878	1.6363	0.0000
1	145	2.2167	1.6397	0.0000
1	146	2.2465	1.6416	0.0000
1	147	2.2754	1.6419	0.0000
1	148	2.3035	1.6411	0.0000
1	149	2.3314	1.6390	0.0000
1	150	2.3595	1.6367	0.0000
1	151	2.3873	1.6333	0.0000
1	152	2.4162	1.6307	0.0000
1	153	2.4451	1.6295	0.0000
1	154	2.4766	1.6271	0.0000
1	155	2.5078	1.6273	0.0000
1	156	2.5400	1.6294	0.0000
1	157	2.5741	1.6368	0.0000
1	158	2.6071	1.6438	0.0000
1	159	2.6408	1.6491	0.0000
1	160	2.6745	1.6522	0.0000
1	161	2.7062	1.6547	0.0000
1	162	2.7378	1.6572	0.0000
1	163	2.7687	1.6603	0.0000
1	164	2.7963	1.6621	0.0000
1	165	2.8220	1.6620	0.0000
1	166	2.8486	1.6612	0.0000
1	167	2.8725	1.6586	0.0000
1	168	2.8956	1.6536	0.0000
1	169	2.9179	1.6477	0.0000
1	170	2.9399	1.6410	0.0000
1	171	2.9612	1.6343	0.0000
1	172	2.9811	1.6275	0.0000
1	173	3.0012	1.6218	0.0000
1	174	3.0199	1.6158	0.0000
1	175	3.0396	1.6139	0.0000
1	176	3.0588	1.6154	0.0000
1	177	3.0785	1.6201	0.0000
1	178	3.0993	1.6235	0.0000
1	179	3.1192	1.6243	0.0000
1	180	3.1394	1.6249	0.0000
2	97	0.0087	1.5081	0.0000
2	98	0.0283	1.5055	0.0000
2	99	0.0468	1.4959	0.0000
2	100	0.0671	1.4962	0.0000
2	101	0.0882	1.4941	0.0000
2	102	0.1091	1.4934	0.0000
2	103	0.1297	1.4929	0.0000
2	104	0.1530	1.4946	0.0000
2	105	0.1772	1.4984	0.0000
2	106	0.2055	1.5022	0.0000
2	107	0.2322	1.5089	0.0000
2	108	0.2532	1.4991	0.0000
2	109	0.2854	1.5199	0.0000
2	110	0.3121	1.5213	0.0000
2	111	0.3401	1.5225	0.0000
2	112	0.3699	1.5253	0.0000
2	113	0.4015	1.5250	0.0000
2	114	0.4327	1.5232	0.0000
2	115	0.4600	1.5344	0.0000
2	116	0.4953	1.5290	0.0000
2	117	0.5262	1.5260	0.0000
2	118	0.5635	1.5202	0.0000
2	119	0.5984	1.5134	0.0000
2	120	0.6391	1.5107	0.0000
2	121	0.6788	1.5081	0.0000
2	122	0.7225	1.5081	0.0000
2	123	0.7621	1.5178	0.0000
2	124	0.8081	1.5123	0.0000
2	125	0.8453	1.5189	0.0000
2	126	0.8823	1.5229	0.0000
2	127	0.9194	1.5234	0.0000
2	128	0.9539	1.5242	0.0000
2	129	0.9895	1.5250	0.0000
2	130	1.0220	1.5233	0.0000
2	131	1.0576	1.5208	0.0000
2	132	1.0890	1.5133	0.0000
2	133	1.1239	1.5069	0.0000
2	134	1.1601	1.5027	0.0000
2	135	1.1959	1.5002	0.0000
2	136	1.2332	1.5020	0.0000
2	137	1.2736	1.5084	0.0000
2	138	1.3094	1.5150	0.0000
2	139	1.3455	1.5173	0.0000
2	140	1.3829	1.5219	0.0000
2	141	1.4172	1.5221	0.0000
2	142	1.4537	1.5262	0.0000
2	143	1.4882	1.5262	0.0000
2	144	1.5239	1.5268	0.0000
2	145	1.5578	1.5233	0.0000
2	146	1.5916	1.5193	0.0000
2	147	1.6252	1.5141	0.0000
2	148	1.6562	1.5076	0.0000
2	149	1.6893	1.5029	0.0000
2	150	1.7219	1.5033	0.0000
2	151	1.7537	1.5024	0.0000
2	152	1.7840	1.5038	0.0000
2	153	1.8122	1.5068	0.0000
2	154	1.8396	1.5081	0.0000
2	155	1.8659	1.5094	0.0000
2	156	1.8899	1.5133	0.0000
2	157	1.9142	1.5125	0.0000
2	158	1.9354	1.5114	0.0000
2	159	1.9564	1.5119	0.0000
2	160	1.9769	1.5112	0.0000
2	161	1.9955	1.5101	0.0000
2	162	2.0147	1.5094	0.0000
2	163	2.0321	1.5079	0.0000
2	164	2.0498	1.5077	0.0000
2	165	2.0682	1.5075	0.0000
2	166	2.0879	1.5080	0.0000
2	167	2.1081	1.5058	0.0000
2	168	2.1290	1.5045	0.0000
2	169	2.1517	1.5104	0.0000
2	170	2.1734	1.5037	0.0000
2	171	2.1939	1.5057	0.0000
2	172	2.2201	1.5130	0.0000
2	173	2.2459	1.5191	0.0000
2	174	2.2712	1.5252	0.0000
2	175	2.2950	1.5280	0.0000
2	176	2.3179	1.5288	0.0000
2	177	2.3411	1.5306	0.0000
2	178	2.3651	1.5304	0.0000
2	179	2.3857	1.5310	0.0000
2	180	2.4060	1.5326	0.0000
2	181	2.4271	1.5344	0.0000
2	182	2.4444	1.5343	0.0000
2	183	2.4644	1.5339	0.0000
2	184	2.4876	1.5388	0.0000
2	185	2.5072	1.5349	0.0000
2	186	2.5292	1.5313	0.0000
2	187	2.5505	1.5272	0.0000
2	188	2.5735	1.5222	0.0000
2	189	2.5974	1.5165	0.0000
2	190	2.6209	1.5129	0.0000
2	191	2.6454	1.5099	0.0000
2	192	2.6692	1.5089	0.0000
2	193	2.6965	1.5119	0.0000
2	194	2.7234	1.5175	0.0000
2	195	2.7497	1.5225	0.0000
2	196	2.7767	1.5222	0.0000
2	197	2.8038	1.5228	0.0000
2	198	2.8300	1.5231	0.0000
2	199	2.8585	1.5229	0.0000
2	200	2.8850	1.5228	0.0000
2	201	2.9118	1.5208	0.0000
2	202	2.9394	1.5209	0.0000
2	203	2.9669	1.5197	0.0000
2	204	2.9967	1.5192	0.0000
2	205	3.0257	1.5151	0.0000
2	206	3.0547	1.5094	0.0000
2	207	3.0846	1.5061	0.0000
2	208	3.1156	1.5027	0.0000
3	132	0.0226	1.6344	0.0000
3	133	0.0497	1.6302	0.0000
3	134	0.0773	1.6284	0.0000
3	135	0.1058	1.6305	0.0000
3	136	0.1369	1.6374	0.0000
3	137	0.1690	1.6473	0.0000
3	138	0.2020	1.6560	0.0000
3	139	0.2360	1.6646	0.0000
3	140	0.2730	1.6713	0.0000
3	141	0.3117	1.6765	0.0000
3	142	0.3504	1.6783	0.0000
3	143	0.3912	1.6782	0.0000
3	144	0.4312	1.6755	0.0000
3	145	0.4829	1.6723	0.0000
3	146	0.5241	1.6663	0.0000
3	147	0.5666	1.6608	0.0000
3	148	0.6096	1.6564	0.0000
3	149	0.6524	1.6528	0.0000
3	150	0.6952	1.6524	0.0000
3	151	0.7372	1.6540	0.0000
3	152	0.7775	1.6571	0.0000
3	153	0.8166	1.6607	0.0000
3	154	0.8548	1.6644	0.0000
3	155	0.8911	1.6683	0.0000
3	156	0.9234	1.6709	0.0000
3	157	0.9568	1.6728	0.0000
3	158	0.9871	1.6733	0.0000
3	159	1.0168	1.6731	0.0000
3	160	1.0437	1.6707	0.0000
3	161	1.0720	1.6687	0.0000
3	162	1.1000	1.6665	0.0000
3	163	1.1263	1.6648	0.0000
3	164	1.1517	1.6642	0.0000
3	165	1.1770	1.6632	0.0000
3	166	1.2027	1.6634	0.0000
3	167	1.2318	1.6644	0.0000
3	168	1.2585	1.6673	0.0000
3	169	1.2845	1.6690	0.0000
3	170	1.3111	1.6701	0.0000
3	171	1.3394	1.6710	0.0000
3	172	1.3659	1.6718	0.0000
3	173	1.3891	1.6728	0.0000
3	174	1.4110	1.6736	0.0000
3	175	1.4319	1.6745	0.0000
3	176	1.4543	1.6744	0.0000
3	177	1.4770	1.6737	0.0000
3	178	1.4984	1.6712	0.0000
3	179	1.5204	1.6689	0.0000
3	180	1.5409	1.6647	0.0000
3	181	1.5597	1.6611	0.0000
3	182	1.5739	1.6564	0.0000
3	183	1.5894	1.6535	0.0000
3	184	1.6029	1.6510	0.0000
3	185	1.6163	1.6502	0.0000
3	186	1.6304	1.6515	0.0000
3	187	1.6457	1.6517	0.0000
3	188	1.6606	1.6507	0.0000
3	189	1.6771	1.6492	0.0000
3	190	1.6942	1.6479	0.0000
3	191	1.7115	1.6466	0.0000
3	192	1.7300	1.6444	0.0000
3	193	1.7483	1.6419	0.0000
3	194	1.7667	1.6394	0.0000
3	195	1.7855	1.6363	0.0000
3	196	1.8053	1.6341	0.0000
3	197	1.8244	1.6317	0.0000
3	198	1.8446	1.6295	0.0000
3	199	1.8655	1.6279	0.0000
3	200	1.8865	1.6264	0.0000
3	201	1.9090	1.6241	0.0000
3	202	1.9325	1.6226	0.0000
3	203	1.9571	1.6218	0.0000
3	204	1.9821	1.6229	0.0000
3	205	2.0070	1.6264	0.0000
3	206	2.0333	1.6312	0.0000
3	207	2.0584	1.6383	0.0000
3	208	2.0827	1.6448	0.0000
3	209	2.1071	1.6503	0.0000
3	210	2.1313	1.6542	0.0000
3	211	2.1565	1.6567	0.0000
3	212	2.1815	1.6581	0.0000
3	213	2.2072	1.6583	0.0000
3	214	2.2333	1.6580	0.0000
3	215	2.2593	1.6568	0.0000
3	216	2.2849	1.6547	0.0000
3	217	2.3106	1.6518	0.0000
3	218	2.3347	1.6478	0.0000
3	219	2.3598	1.6439	0.0000
3	220	2.3845	1.6410	0.0000
3	221	2.4102	1.6404	0.0000
3	222	2.4367	1.6432	0.0000
3	223	2.4624	1.6488	0.0000
3	224	2.4887	1.6550	0.0000
3	225	2.5130	1.6587	0.0000
3	226	2.5377	1.6606	0.0000
3	227	2.5623	1.6609	0.0000
3	228	2.5868	1.6608	0.0000
3	229	2.6116	1.6596	0.0000
3	230	2.6368	1.6586	0.0000
3	231	2.6626	1.6561	0.0000
3	232	2.6889	1.6523	0.0000
3	233	2.7150	1.6478	0.0000
3	234	2.7433	1.6434	0.0000
3	235	2.7713	1.6388	0.0000
3	236	2.8010	1.6342	0.0000
3	237	2.8311	1.6298	0.0000
3	238	2.8595	1.6269	0.0000
3	239	2.8905	1.6251	0.0000
3	240	2.9255	1.6260	0.0000
3	241	2.9591	1.6293	0.0000
3	242	2.9901	1.6333	0.0000
3	243	3.0236	1.6368	0.0000
3	244	3.0549	1.6401	0.0000
3	245	3.0871	1.6416	0.0000
3	246	3.1178	1.6423	0.0000
4	165	0.0155	1.4829	0.0000
4	166	0.0487	1.4894	0.0000
4	167	0.0839	1.4932	0.0000
4	168	0.1201	1.4970	0.0000
4	169	0.1580	1.4994	0.0000
4	170	0.1959	1.5010	0.0000
4	171	0.2326	1.4991	0.0000
4	172	0.2695	1.4974	0.0000
4	173	0.3049	1.4902	0.0000
4	174	0.3396	1.4836	0.0000
4	175	0.3736	1.4762	0.0000
4	176	0.4061	1.4708	0.0000
4	177	0.4379	1.4719	0.0000
4	178	0.4683	1.4732	0.0000
4	179	0.4963	1.4773	0.0000
4	180	0.5233	1.4809	0.0000
4	181	0.5494	1.4850	0.0000
4	182	0.5730	1.4878	0.0000
4	183	0.5959	1.4904	0.0000
4	184	0.6173	1.4922	0.0000
4	185	0.6381	1.4928	0.0000
4	186	0.6587	1.4920	0.0000
4	187	0.6790	1.4910	0.0000
4	188	0.6995	1.4901	0.0000
4	189	0.7198	1.4888	0.0000
4	190	0.7393	1.4859	0.0000
4	191	0.7589	1.4837	0.0000
4	192	0.7781	1.4810	0.0000
4	193	0.7969	1.4781	0.0000
4	194	0.8163	1.4792	0.0000
4	195	0.8357	1.4810	0.0000
4	196	0.8546	1.4853	0.0000
4	197	0.8733	1.4879	0.0000
4	198	0.8919	1.4902	0.0000
4	199	0.9109	1.4893	0.0000
4	200	0.9289	1.4897	0.0000
4	201	0.9470	1.4909	0.0000
4	202	0.9654	1.4920	0.0000
4	203	0.9825	1.4938	0.0000
4	204	0.9992	1.4951	0.0000
4	205	1.0155	1.4951	0.0000
4	206	1.0326	1.4945	0.0000
4	207	1.0496	1.4932	0.0000
4	208	1.0676	1.4924	0.0000
4	209	1.0859	1.4896	0.0000
4	210	1.1051	1.4861	0.0000
4	211	1.1250	1.4846	0.0000
4	212	1.1460	1.4819	0.0000
4	213	1.1682	1.4786	0.0000
4	214	1.1902	1.4764	0.0000
4	215	1.2142	1.4739	0.0000
4	216	1.2394	1.4739	0.0000
4	217	1.2644	1.4754	0.0000
4	218	1.2908	1.4783	0.0000
4	219	1.3160	1.4820	0.0000
4	220	1.3405	1.4828	0.0000
4	221	1.3649	1.4848	0.0000
4	222	1.3901	1.4860	0.0000
4	223	1.4149	1.4881	0.0000
4	224	1.4401	1.4880	0.0000
4	225	1.4660	1.4872	0.0000
4	226	1.4928	1.4875	0.0000
4	227	1.5208	1.4844	0.0000
4	228	1.5489	1.4816	0.0000
4	229	1.5775	1.4765	0.0000
4	230	1.6057	1.4710	0.0000
4	231	1.6344	1.4657	0.0000
4	232	1.6632	1.4639	0.0000
4	233	1.6939	1.4665	0.0000
4	234	1.7246	1.4720	0.0000
4	235	1.7543	1.4795	0.0000
4	236	1.7844	1.4844	0.0000
4	237	1.8148	1.4884	0.0000
4	238	1.8449	1.4915	0.0000
4	239	1.8742	1.4935	0.0000
4	240	1.9041	1.4942	0.0000
4	241	1.9332	1.4949	0.0000
4	242	1.9614	1.4945	0.0000
4	243	1.9904	1.4926	0.0000
4	244	2.0187	1.4889	0.0000
4	245	2.0473	1.4838	0.0000
4	246	2.0761	1.4781	0.0000
4	247	2.1050	1.4715	0.0000
4	248	2.1338	1.4671	0.0000
4	249	2.1621	1.4680	0.0000
4	250	2.1913	1.4726	0.0000
4	251	2.2193	1.4749	0.0000
4	252	2.2469	1.4780	0.0000
4	253	2.2737	1.4783	0.0000
4	254	2.3015	1.4791	0.0000
4	255	2.3289	1.4780	0.0000
4	256	2.3561	1.4773	0.0000
4	257	2.3828	1.4764	0.0000
4	258	2.4106	1.4746	0.0000
4	259	2.4383	1.4732	0.0000
4	260	2.4673	1.4711	0.0000
4	261	2.4958	1.4674	0.0000
4	262	2.5231	1.4633	0.0000
4	263	2.5495	1.4588	0.0000
4	264	2.5769	1.4562	0.0000
4	265	2.6038	1.4593	0.0000
4	266	2.6307	1.4642	0.0000
4	267	2.6565	1.4699	0.0000
4	268	2.6816	1.4729	0.0000
4	269	2.7050	1.4770	0.0000
4	270	2.7282	1.4804	0.0000
4	271	2.7508	1.4827	0.0000
4	272	2.7729	1.4852	0.0000
4	273	2.7943	1.4862	0.0000
4	274	2.8151	1.4884	0.0000
4	275	2.8354	1.4885	0.0000
4	276	2.8554	1.4886	0.0000
4	277	2.8751	1.4879	0.0000
4	278	2.8944	1.4869	0.0000
4	279	2.9139	1.4850	0.0000
4	280	2.9328	1.4815	0.0000
4	281	2.9522	1.4787	0.0000
4	282	2.9720	1.4760	0.0000
4	283	2.9917	1.4744	0.0000
4	284	3.0110	1.4754	0.0000
4	285	3.0317	1.4774	0.0000
4	286	3.0515	1.4803	0.0000
4	287	3.0714	1.4825	0.0000
4	288	3.0911	1.4832	0.0000
4	289	3.1084	1.4847	0.0000
4	290	3.1276	1.4864	0.0000
5	191	0.0115	1.6215	0.0000
5	192	0.0480	1.6189	0.0000
5	193	0.0854	1.6157	0.0000
5	194	0.1218	1.6147	0.0000
5	195	0.1587	1.6169	0.0000
5	196	0.1934	1.6212	0.0000
5	197	0.2258	1.6269	0.0000
5	198	0.2537	1.6331	0.0000
5	199	0.2777	1.6386	0.0000
5	200	0.2990	1.6434	0.0000
5	201	0.3193	1.6468	0.0000
5	202	0.3404	1.6510	0.0000
