#id	fr	x	y	z	velocity	headway	rho
102	0	1.3448	1.6333	0.0000	-0.0085	0.6061	1.6192
101	0	1.9509	1.4760	0.0000	0.0050	0.7519	1.4728
102	1	1.3476	1.6373	0.0000	-0.0212	0.6028	1.6193
101	1	1.9504	1.4752	0.0000	0.0163	0.7556	1.4723
102	2	1.3473	1.6423	0.0000	-0.0235	0.6036	1.6186
101	2	1.9509	1.4761	0.0000	0.0225	0.7590	1.4678
102	3	1.3461	1.6475	0.0000	-0.0230	0.6063	1.6162
101	3	1.9524	1.4751	0.0000	0.0280	0.7616	1.4621
102	4	1.3432	1.6527	0.0000	-0.0217	0.6105	1.6158
101	4	1.9537	1.4752	0.0000	0.0290	0.7637	1.4554
102	5	1.3414	1.6566	0.0000	-0.0252	0.6115	1.6154
101	5	1.9529	1.4800	0.0000	0.0495	0.7683	1.4495
102	6	1.3391	1.6599	0.0000	-0.0337	0.6178	1.6116
101	6	1.9569	1.4795	0.0000	0.0518	0.7678	1.4434
102	7	1.3379	1.6624	0.0000	-0.0317	0.6220	1.6091
101	7	1.9599	1.4791	0.0000	0.0600	0.7689	1.4379
102	8	1.3369	1.6651	0.0000	-0.0280	0.6267	1.6045
101	8	1.9636	1.4785	0.0000	0.0665	0.7692	1.4328
102	9	1.3345	1.6666	0.0000	-0.0212	0.6308	1.6033
101	9	1.9653	1.4834	0.0000	0.0725	0.7719	1.4258
102	10	1.3347	1.6683	0.0000	-0.0155	0.6360	1.5971
101	10	1.9707	1.4803	0.0000	0.0837	0.7706	1.4219
102	11	1.3341	1.6698	0.0000	-0.0093	0.6370	1.5974
101	11	1.9711	1.4853	0.0000	0.0832	0.7743	1.4171
102	12	1.3346	1.6715	0.0000	-0.0050	0.6403	1.5960
101	12	1.9749	1.4888	0.0000	0.0885	0.7745	1.4136
102	13	1.3349	1.6723	0.0000	-0.0010	0.6441	1.5887
101	13	1.9790	1.4883	0.0000	0.0898	0.7753	1.4090
102	14	1.3347	1.6729	0.0000	0.0070	0.6480	1.5838
