#id	fr	x	y	z	velocity	headway	rho
12	0	0.8044	0.0395	1.8320	0.0068	1.4081	0.7493
11	0	2.2125	0.1773	1.8320	-0.0497	1.2610	0.8904
14	0	3.4735	0.0944	1.8990	0.0110	0.9851	0.9541
10	0	4.4586	0.1153	1.8320	0.0248	1.1112	0.9571
4	0	5.5698	-0.0091	1.7650	0.0162	0.9784	1.2084
3	0	6.5482	0.1557	1.7650	0.0435	0.6767	1.2742
5	0	7.2249	0.1092	1.7650	0.0205	0.8929	1.1370
1	0	8.1178	0.1520	1.6160	-0.0450	0.8661	1.2128
6	0	8.9839	0.0110	1.7650	0.0287	0.7830	1.2238
7	0	9.7669	0.0636	1.7650	-0.0128	0.8513	0.8171
13	0	10.6182	0.0559	1.8320	-0.0192	1.5965	0.6562
2	0	12.2147	0.0710	1.6860	0.0255	1.4513	0.7846
9	0	13.6660	0.1064	1.7650	0.0075	1.0978	0.7942
15	0	14.7638	0.1147	1.8990	0.0953	1.4205	0.7506
8	0	16.1843	0.0721	1.7650	0.0170	1.2440	0.7541
12	1	0.8054	0.0383	1.8320	0.0077	1.4040	0.7497
11	1	2.2094	0.1831	1.8320	-0.0585	1.2639	0.8888
14	1	3.4733	0.0941	1.8990	0.0170	0.9863	0.9535
10	1	4.4596	0.1133	1.8320	0.0318	1.1113	0.9562
4	1	5.5709	-0.0102	1.7650	0.0198	0.9804	1.2079
3	1	6.5513	0.1548	1.7650	0.0540	0.6753	1.2807
5	1	7.2266	0.1094	1.7650	0.0243	0.8864	1.1382
1	1	8.1130	0.1527	1.6160	-0.0498	0.8707	1.2103
6	1	8.9837	0.0171	1.7650	0.0407	0.7818	1.2241
7	1	9.7655	0.0637	1.7650	-0.0140	0.8521	0.8161
13	1	10.6176	0.0560	1.8320	-0.0243	1.5987	0.6560
2	1	12.2163	0.0713	1.6860	0.0307	1.4502	0.7824
9	1	13.6665	0.1058	1.7650	0.0100	1.1059	0.7940
15	1	14.7724	0.1223	1.8990	0.1072	1.4131	0.7528
8	1	16.1855	0.0726	1.7650	0.0220	1.2438	0.7553
12	2	0.8062	0.0368	1.8320	0.0085	1.3992	0.7499
11	2	2.2054	0.1877	1.8320	-0.0650	1.2679	0.8866
14	2	3.4733	0.0941	1.8990	0.0238	0.9879	0.9530
10	2	4.4612	0.1108	1.8320	0.0415	1.1107	0.9554
4	2	5.5719	-0.0114	1.7650	0.0245	0.9826	1.2072
