#id	fr	x	y	z	velocity	headway	rho
13	701	0.0124	-0.0834	1.8320	0.7263	0.8995	1.0234
2	701	0.9119	0.0998	1.6860	0.9390	1.0548	0.8182
9	701	1.9667	-0.0840	1.7650	0.8220	1.3896	0.8035
15	701	3.3563	-0.1293	1.8990	0.9508	1.0996	0.8159
8	701	4.4559	-0.0156	1.7650	0.7315	1.3517	0.7699
12	701	5.8076	-0.2041	1.8320	0.9440	1.2462	0.8373
11	701	7.0538	-0.1889	1.8320	0.7395	1.1425	0.9202
14	701	8.1963	-0.0623	1.8990	0.9300	1.0310	0.9756
10	701	9.2273	0.0164	1.8320	1.0232	1.0191	0.8388
4	701	10.2464	-0.0028	1.7650	0.7737	1.3654	0.9355
3	701	11.6118	-0.1565	1.7650	0.9000	0.7726	1.2452
5	701	12.3844	-0.0878	1.7650	0.9145	0.8336	0.9549
1	701	13.2180	-0.0264	1.6160	0.8595	1.2609	0.9224
6	701	14.4789	-0.2648	1.7650	1.0110	0.9073	0.9270
7	701	15.3862	-0.2065	1.7650	0.8372	1.2501	0.9304
13	702	0.0400	-0.0707	1.8320	0.7145	0.9107	1.0216
2	702	0.9507	0.1095	1.6860	0.8995	1.0471	0.8176
9	702	1.9978	-0.0865	1.7650	0.8038	1.3992	0.8038
15	702	3.3970	-0.1164	1.8990	0.9502	1.0889	0.8174
8	702	4.4859	-0.0130	1.7650	0.7330	1.3579	0.7708
12	702	5.8438	-0.2091	1.8320	0.9290	1.2367	0.8366
11	702	7.0805	-0.1889	1.8320	0.7500	1.1540	0.9151
14	702	8.2345	-0.0655	1.8990	0.9395	1.0316	0.9793
10	702	9.2661	0.0262	1.8320	0.9498	1.0106	0.8396
4	702	10.2767	-0.0103	1.7650	0.7780	1.3715	0.9334
3	702	11.6482	-0.1528	1.7650	0.8855	0.7711	1.2466
5	702	12.4193	-0.0786	1.7650	0.8663	0.8332	0.9529
1	702	13.2525	-0.0249	1.6160	0.8608	1.2657	0.9238
6	702	14.5182	-0.2603	1.7650	1.0080	0.8992	0.9321
7	702	15.4174	-0.2098	1.7650	0.8170	1.2465	0.9271
13	703	0.0684	-0.0592	1.8320	0.7100	0.9186	1.0208
2	703	0.9870	0.1202	1.6860	0.8980	1.0407	0.8156
9	703	2.0277	-0.0886	1.7650	0.7850	1.4114	0.8035
15	703	3.4391	-0.1023	1.8990	0.9495	1.0776	0.8200
8	703	4.5167	-0.0077	1.7650	0.7340	1.3615	0.7715
12	703	5.8782	-0.2112	1.8320	0.9132	1.2308	0.8349
11	703	7.1090	-0.1873	1.8320	0.7670	1.1646	0.9103
14	703	8.2736	-0.0693	1.8990	0.9488	1.0324	0.9834
10	703	9.3060	0.0382	1.8320	0.9377	1.0014	0.8411
4	703	10.3074	-0.0187	1.7650	0.7812	1.3763	0.9317
3	703	11.6837	-0.1508	1.7650	0.8703	0.7704	1.2473
5	703	12.4541	-0.0671	1.7650	0.8617	0.8330	0.9511
1	703	13.2871	-0.0228	1.6160	0.8520	1.2699	0.9253
6	703	14.5570	-0.2538	1.7650	1.0007	0.8916	0.9366
7	703	15.4486	-0.2112	1.7650	0.7955	1.2437	0.9249
13	704	0.0966	-0.0491	1.8320	0.7113	0.9249	1.0200
2	704	1.0215	0.1283	1.6860	0.9033	1.0359	0.8137
9	704	2.0574	-0.0911	1.7650	0.7730	1.4221	0.8031
15	704	3.4795	-0.0883	1.8990	0.9413	1.0684	0.8220
8	704	4.5479	-0.0003	1.7650	0.7350	1.3646	0.7718
12	704	5.9125	-0.2119	1.8320	0.9050	1.2269	0.8330
11	704	7.1394	-0.1847	1.8320	0.7917	1.1741	0.9061
14	704	8.3135	-0.0750	1.8990	0.9535	1.0332	0.9875
10	704	9.3467	0.0535	1.8320	0.9225	0.9922	0.8430
4	704	10.3389	-0.0276	1.7650	0.7837	1.3803	0.9307
3	704	11.7192	-0.1498	1.7650	0.8595	0.7686	1.2480
5	704	12.4878	-0.0544	1.7650	0.8577	0.8340	0.9492
1	704	13.3218	-0.0196	1.6160	0.8500	1.2731	0.9264
6	704	14.5949	-0.2460	1.7650	0.9930	0.8858	0.9409
7	704	15.4807	-0.2114	1.7650	0.8058	1.2398	0.9239
13	705	0.1243	-0.0398	1.8320	0.7185	0.9318	1.0191
2	705	1.0561	0.1355	1.6860	0.8920	1.0307	0.8127
9	705	2.0868	-0.0944	1.7650	0.7670	1.4301	0.8029
15	705	3.5169	-0.0794	1.8990	0.9175	1.0610	0.8232
8	705	4.5779	0.0076	1.7650	0.7363	1.3684	0.7710
12	705	5.9463	-0.2121	1.8320	0.9108	1.2258	0.8313
11	705	7.1721	-0.1814	1.8320	0.8250	1.1801	0.9028
14	705	8.3522	-0.0817	1.8990	0.9503	1.0353	0.9900
10	705	9.3875	0.0710	1.8320	0.9072	0.9848	0.8451
4	705	10.3723	-0.0348	1.7650	0.7867	1.3818	0.9305
3	705	11.7541	-0.1507	1.7650	0.8495	0.7675	1.2490
5	705	12.5216	-0.0430	1.7650	0.8548	0.8338	0.9479
1	705	13.3554	-0.0154	1.6160	0.8490	1.2762	0.9273
6	705	14.6316	-0.2381	1.7650	0.9827	0.8806	0.9449
7	705	15.5122	-0.2108	1.7650	0.7975	1.2360	0.9226
13	706	0.1519	-0.0328	1.8320	0.7282	0.9401	1.0180
2	706	1.0920	0.1414	1.6860	0.8840	1.0245	0.8126
9	706	2.1165	-0.0979	1.7650	0.7700	1.4367	0.8032
15	706	3.5532	-0.0709	1.8990	0.8955	1.0532	0.8240
8	706	4.6064	0.0146	1.7650	0.7333	1.3741	0.7693
12	706	5.9805	-0.2125	1.8320	0.9140	1.2255	0.8296
11	706	7.2060	-0.1779	1.8320	0.8632	1.1854	0.9009
14	706	8.3914	-0.0874	1.8990	0.9390	1.0345	0.9929
10	706	9.4259	0.0893	1.8320	0.8898	0.9799	0.8467
4	706	10.4058	-0.0410	1.7650	0.7918	1.3821	0.9308
3	706	11.7879	-0.1520	1.7650	0.8820	0.7667	1.2488
5	706	12.5546	-0.0327	1.7650	0.8548	0.8349	0.9470
1	706	13.3895	-0.0104	1.6160	0.8462	1.2770	0.9291
6	706	14.6665	-0.2319	1.7650	0.8968	0.8757	0.9482
7	706	15.5422	-0.2095	1.7650	0.8017	1.2336	0.9201
13	707	0.1804	-0.0273	1.8320	0.7410	0.9473	1.0171
2	707	1.1277	0.1459	1.6860	0.8675	1.0190	0.8127
9	707	2.1467	-0.1006	1.7650	0.7805	1.4420	0.8038
15	707	3.5887	-0.0640	1.8990	0.8515	1.0463	0.8238
8	707	4.6350	0.0214	1.7650	0.7250	1.3815	0.7671
12	707	6.0165	-0.2130	1.8320	0.9230	1.2257	0.8290
11	707	7.2422	-0.1745	1.8320	0.9003	1.1868	0.9015
14	707	8.4290	-0.0944	1.8990	0.9245	1.0318	0.9955
10	707	9.4608	0.1047	1.8320	0.8672	0.9773	0.8477
4	707	10.4381	-0.0463	1.7650	0.7950	1.3820	0.9301
3	707	11.8201	-0.1562	1.7650	0.8720	0.7683	1.2468
5	707	12.5884	-0.0245	1.7650	0.8513	0.8358	0.9464
1	707	13.4242	-0.0069	1.6160	0.8378	1.2774	0.9316
6	707	14.7016	-0.2267	1.7650	0.8835	0.8695	0.9512
7	707	15.5711	-0.2085	1.7650	0.8145	1.2332	0.9172
13	708	0.2101	-0.0233	1.8320	0.7532	0.9510	1.0167
2	708	1.1611	0.1501	1.6860	0.8612	1.0161	0.8120
9	708	2.1772	-0.1029	1.7650	0.7960	1.4469	0.8043
15	708	3.6241	-0.0568	1.8990	0.8098	1.0398	0.8232
8	708	4.6639	0.0271	1.7650	0.7160	1.3896	0.7647
12	708	6.0535	-0.2137	1.8320	0.9335	1.2259	0.8288
11	708	7.2794	-0.1706	1.8320	0.9280	1.1873	0.9038
14	708	8.4667	-0.0990	1.8990	0.9065	1.0257	0.9985
10	708	9.4924	0.1171	1.8320	0.8433	0.9774	0.8481
4	708	10.4698	-0.0506	1.7650	0.7987	1.3807	0.9289
3	708	11.8505	-0.1633	1.7650	0.8692	0.7724	1.2463
5	708	12.6229	-0.0185	1.7650	0.8487	0.8323	0.9468
