#description: experiment
#framerate: 25
#geometry: geometry.xml
#ID: the agent ID
#FR: the current frame
#X,Y,Z: the agents coordinates (in metres)
# personal information:
# ID| Comment
#  1 M 1
#  2 M 5
#  3 M 41
#  4 M 7
#  5 M 39
#  6 M 15
#  7 M 23
#  8 M 9
#  9 M 13
# 10 M 17
# 11 M 3
# 12 M 11
# 13 M 19
# 14 M 21
# 15 M 1
# 16 M 5
# 17 M 41
# 18 M 7
# 19 M 39
# 20 M 15
# 21 M 23
# 22 M 9
# 23 M 13
# 24 M 11
# 25 M 17
# 26 M 3
# 27 M 19
# 28 M 21
# 29 M 1
# 30 M 5
# 31 M 41
# 32 M 7
# 33 M 39
# 34 M 15
# 35 M 23
# 36 M 9
# 37 M 13
# 38 M 11
# 39 M 17
# 40 M 3
# 41 M 19
# 42 M 21
# 43 M 1
# 44 M 5
# 45 M 41
# 46 M 7
# 47 M 39
# 48 M 15
# 49 M 23
# 50 M 9
# 51 M 13
# 52 M 11
# 53 M 17
# 54 M 3
# 55 M 19
# 56 M 21
# 57 M 1
# 58 M 5
# 59 M 41
#ID	FR	X	Y	Z
1	0	3.3148	1.5459	0.0000
1	1	3.3350	1.5460	0.0000
1	2	3.3568	1.5461	0.0000
2	0	2.2280	1.5733	0.0000
2	1	2.2331	1.5744	0.0000
2	2	2.2390	1.5762	0.0000
2	3	2.2447	1.5780	0.0000
2	4	2.2508	1.5797	0.0000
2	5	2.2572	1.5814	0.0000
2	6	2.2635	1.5833	0.0000
2	7	2.2700	1.5852	0.0000
2	8	2.2771	1.5868	0.0000
2	9	2.2846	1.5878	0.0000
2	10	2.2933	1.5888	0.0000
2	11	2.3027	1.5895	0.0000
2	12	2.3139	1.5901	0.0000
2	13	2.3261	1.5903	0.0000
2	14	2.3395	1.5896	0.0000
2	15	2.3539	1.5881	0.0000
2	16	2.3703	1.5859	0.0000
2	17	2.3870	1.5830	0.0000
2	18	2.4053	1.5801	0.0000
2	19	2.4233	1.5765	0.0000
2	20	2.4421	1.5732	0.0000
2	21	2.4610	1.5702	0.0000
2	22	2.4798	1.5673	0.0000
2	23	2.4992	1.5654	0.0000
2	24	2.5188	1.5634	0.0000
2	25	2.5389	1.5628	0.0000
2	26	2.5598	1.5643	0.0000
2	27	2.5806	1.5660	0.0000
2	28	2.6015	1.5672	0.0000
2	29	2.6217	1.5674	0.0000
2	30	2.6420	1.5672	0.0000
2	31	2.6629	1.5674	0.0000
2	32	2.6846	1.5671	0.0000
2	33	2.7072	1.5659	0.0000
2	34	2.7325	1.5642	0.0000
2	35	2.7593	1.5621	0.0000
2	36	2.7871	1.5595	0.0000
2	37	2.8151	1.5562	0.0000
2	38	2.8433	1.5520	0.0000
2	39	2.8725	1.5479	0.0000
2	40	2.9025	1.5452	0.0000
2	41	2.9340	1.5444	0.0000
2	42	2.9659	1.5459	0.0000
2	43	2.9980	1.5508	0.0000
2	44	3.0305	1.5582	0.0000
2	45	3.0618	1.5657	0.0000
2	46	3.0920	1.5720	0.0000
2	47	3.1208	1.5769	0.0000
2	48	3.1478	1.5802	0.0000
2	49	3.1731	1.5841	0.0000
2	50	3.1961	1.5876	0.0000
2	51	3.2168	1.5899	0.0000
2	52	3.2354	1.5909	0.0000
2	53	3.2520	1.5906	0.0000
2	54	3.2671	1.5897	0.0000
2	55	3.2810	1.5884	0.0000
2	56	3.2930	1.5859	0.0000
2	57	3.3040	1.5835	0.0000
2	58	3.3140	1.5809	0.0000
2	59	3.3234	1.5794	0.0000
2	60	3.3329	1.5783	0.0000
2	61	3.3416	1.5769	0.0000
2	62	3.3502	1.5750	0.0000
3	0	0.9280	1.5610	0.0000
3	1	0.9197	1.5624	0.0000
3	2	0.9129	1.5630	0.0000
3	3	0.9094	1.5631	0.0000
3	4	0.9071	1.5636	0.0000
3	5	0.9060	1.5636	0.0000
3	6	0.9056	1.5636	0.0000
3	7	0.9055	1.5635	0.0000
3	8	0.9056	1.5634	0.0000
3	9	0.9057	1.5630	0.0000
3	10	0.9062	1.5625	0.0000
3	11	0.9076	1.5620	0.0000
3	12	0.9087	1.5611	0.0000
3	13	0.9115	1.5598	0.0000
3	14	0.9146	1.5585	0.0000
3	15	0.9179	1.5572	0.0000
3	16	0.9215	1.5559	0.0000
3	17	0.9255	1.5543	0.0000
3	18	0.9296	1.5526	0.0000
3	19	0.9340	1.5504	0.0000
3	20	0.9389	1.5481	0.0000
3	21	0.9440	1.5459	0.0000
3	22	0.9497	1.5441	0.0000
3	23	0.9557	1.5428	0.0000
3	24	0.9619	1.5418	0.0000
3	25	0.9682	1.5412	0.0000
3	26	0.9745	1.5407	0.0000
3	27	0.9809	1.5403	0.0000
3	28	0.9884	1.5400	0.0000
