#id	fr	x	y	z	velocity	headway	rho
3	0	1.2379	1.6174	0.0000	0.0438	1.0943	1.1455
2	0	2.3322	1.6982	0.0000	0.1120	0.6318	1.1587
3	1	1.2408	1.6178	0.0000	0.0445	1.0986	1.1412
2	1	2.3394	1.6977	0.0000	0.1187	0.6240	1.1610
3	2	1.2447	1.6177	0.0000	0.0423	1.1037	1.1377
2	2	2.3484	1.6971	0.0000	0.1218	0.6150	1.1637
3	3	1.2485	1.6176	0.0000	0.0440	1.1104	1.1346
2	3	2.3589	1.6963	0.0000	0.1215	0.6045	1.1662
3	4	1.2522	1.6165	0.0000	0.0460	1.1166	1.1340
2	4	2.3688	1.6949	0.0000	0.1228	0.5948	1.1686
3	5	1.2554	1.6150	0.0000	0.0948	1.1216	1.1356
2	5	2.3770	1.6946	0.0000	0.2385	0.5867	1.1708
3	6	1.2586	1.6132	0.0000	0.1013	1.1283	1.1373
2	6	2.3869	1.6962	0.0000	0.2448	0.5782	1.1720
3	7	1.2616	1.6100	0.0000	0.1062	1.1355	1.1392
2	7	2.3971	1.6983	0.0000	0.2463	0.5696	1.1730
3	8	1.2661	1.6076	0.0000	0.1133	1.1414	1.1399
2	8	2.4075	1.7000	0.0000	0.2430	0.5616	1.1744
3	9	1.2706	1.6051	0.0000	0.1250	1.1473	1.1395
2	9	2.4179	1.6992	0.0000	0.2413	0.5535	1.1759
3	10	1.2758	1.6045	0.0000	0.1422	1.1518	1.1384
2	10	2.4276	1.6967	0.0000	0.2440	0.5459	1.1781
4	11	0.6783	1.6432	0.0000	0.2398	0.6030	1.5694
3	11	1.2813	1.6043	0.0000	0.1622	1.1560	1.1370
2	11	2.4373	1.6935	0.0000	0.2415	0.5375	1.1810
4	12	0.6867	1.6431	0.0000	0.2310	0.6005	1.5814
3	12	1.2872	1.6042	0.0000	0.1867	1.1597	1.1362
2	12	2.4469	1.6910	0.0000	0.2380	0.5304	1.1834
4	13	0.6952	1.6438	0.0000	0.2232	0.5986	1.5927
3	13	1.2938	1.6034	0.0000	0.2110	1.1623	1.1358
2	13	2.4561	1.6895	0.0000	0.2327	0.5229	1.1868
4	14	0.7044	1.6434	0.0000	0.2173	0.5978	1.6017
3	14	1.3022	1.6031	0.0000	0.2395	1.1631	1.1358
2	14	2.4653	1.6887	0.0000	0.2263	0.5154	1.1915
4	15	0.7144	1.6422	0.0000	0.2150	0.5979	1.6085
3	15	1.3123	1.6027	0.0000	0.2680	1.1623	1.1362
2	15	2.4746	1.6886	0.0000	0.2212	0.5081	1.1973
4	16	0.7243	1.6401	0.0000	0.2117	0.5992	1.6134
3	16	1.3235	1.6025	0.0000	0.2955	1.1600	1.1369
