#id	fr	x	y	z	velocity	headway	rho
36	1001	0.9049	1.6992	0.0000	0.7820	0.8592	1.1391
35	1001	1.7641	1.7430	0.0000	0.6545	0.7831	1.2178
36	1002	0.9348	1.6975	0.0000	0.7742	0.8564	1.1349
35	1002	1.7912	1.7459	0.0000	0.6732	0.7804	1.2219
36	1003	0.9650	1.6970	0.0000	0.7687	0.8556	1.1296
35	1003	1.8206	1.7477	0.0000	0.6888	0.7730	1.2280
36	1004	0.9951	1.6976	0.0000	0.7632	0.8550	1.1247
35	1004	1.8501	1.7491	0.0000	0.6985	0.7655	1.2342
36	1005	1.0257	1.6983	0.0000	0.7600	0.8548	1.1193
35	1005	1.8805	1.7493	0.0000	0.6980	0.7565	1.2412
36	1006	1.0568	1.6985	0.0000	0.7570	0.8532	1.1153
35	1006	1.9100	1.7484	0.0000	0.6965	0.7491	1.2482
36	1007	1.0877	1.6975	0.0000	0.7553	0.8506	1.1119
35	1007	1.9383	1.7458	0.0000	0.6912	0.7427	1.2553
36	1008	1.1185	1.6961	0.0000	0.7523	0.8468	1.1098
35	1008	1.9653	1.7423	0.0000	0.6843	0.7393	1.2610
36	1009	1.1488	1.6946	0.0000	0.7505	0.8429	1.1080
35	1009	1.9917	1.7386	0.0000	0.6812	0.7378	1.2653
36	1010	1.1783	1.6924	0.0000	0.7475	0.8390	1.1074
35	1010	2.0173	1.7344	0.0000	0.6798	0.7392	1.2673
36	1011	1.2077	1.6908	0.0000	0.7430	0.8350	1.1080
35	1011	2.0427	1.7301	0.0000	0.6805	0.7420	1.2682
36	1012	1.2369	1.6899	0.0000	0.7398	0.8308	1.1100
35	1012	2.0677	1.7263	0.0000	0.6820	0.7477	1.2670
36	1013	1.2659	1.6910	0.0000	0.7380	0.8284	1.1117
35	1013	2.0943	1.7248	0.0000	0.6870	0.7538	1.2641
36	1014	1.2953	1.6959	0.0000	0.7370	0.8273	1.1136
35	1014	2.1226	1.7241	0.0000	0.6953	0.7602	1.2598
36	1015	1.3247	1.7003	0.0000	0.7383	0.8277	1.1162
35	1015	2.1524	1.7245	0.0000	0.6998	0.7678	1.2535
36	1016	1.3540	1.7021	0.0000	0.7382	0.8282	1.1200
35	1016	2.1822	1.7240	0.0000	0.7040	0.7773	1.2457
36	1017	1.3836	1.7032	0.0000	0.7392	0.8275	1.1249
35	1017	2.2111	1.7225	0.0000	0.7078	0.7880	1.2380
36	1018	1.4137	1.7031	0.0000	0.7393	0.8264	1.1306
35	1018	2.2401	1.7211	0.0000	0.7073	0.7988	1.2306
36	1019	1.4436	1.7030	0.0000	0.7383	0.8262	1.1357
35	1019	2.2698	1.7204	0.0000	0.7035	0.8090	1.2231
36	1020	1.4736	1.7040	0.0000	0.7358	0.8236	1.1412
35	1020	2.2972	1.7194	0.0000	0.6998	0.8167	1.2193
36	1021	1.5030	1.7048	0.0000	0.7342	0.8213	1.1475
36	1022	1.5326	1.7050	0.0000	0.7315	0.8182	1.1544
36	1023	1.5616	1.7047	0.0000	0.7270	0.8156	1.1585
36	1024	1.5906	1.7035	0.0000	0.7235	0.8134	1.1633
36	1025	1.6190	1.7008	0.0000	0.7198	0.8133	1.1662
36	1026	1.6477	1.6979	0.0000	0.7163	0.8139	1.1680
36	1027	1.6762	1.6936	0.0000	0.7112	0.8146	1.1673
36	1028	1.7045	1.6886	0.0000	0.7065	0.8162	1.1677
36	1029	1.7330	1.6884	0.0000	0.7012	0.8168	1.1680
36	1030	1.7615	1.6888	0.0000	0.6955	0.8183	1.1674
36	1031	1.7895	1.6878	0.0000	0.6885	0.8183	1.1684
36	1032	1.8171	1.6867	0.0000	0.6815	0.8188	1.1705
36	1033	1.8442	1.6857	0.0000	0.6758	0.8156	1.1749
