#description: experiment
#framerate: 25
#geometry: geometry.xml
#ID: the agent ID
#FR: the current frame
#X,Y,Z: the agents coordinates (in metres)
# personal information:
# ID| Comment
#  1 F 26
#  2 M 27
#  3 F 16
#  4 M 41
#  5 F 2
#  6 M 9
#  7 F 14
#  8 M 11
#  9 F 24
# 10 M 31
# 11 F 30
# 12 M 29
# 13 F 28
# 14 M 17
# 15 F 26
# 16 M 27
# 17 F 16
# 18 M 41
# 19 F 2
# 20 M 9
# 21 F 14
# 22 M 11
# 23 F 24
# 24 M 31
# 25 F 30
# 26 M 29
# 27 F 28
# 28 M 17
# 29 F 26
# 30 M 27
# 31 F 16
# 32 M 41
# 33 F 2
# 34 M 9
# 35 F 14
# 36 M 11
# 37 F 24
# 38 M 31
# 39 F 30
# 40 M 29
# 41 F 28
# 42 M 17
# 43 F 26
# 44 M 27
# 45 F 16
# 46 M 41
# 47 F 2
# 48 M 9
# 49 F 14
# 50 M 11
# 51 F 24
# 52 M 31
# 53 F 30
# 54 M 29
# 55 F 28
# 56 M 17
# 57 F 26
# 58 M 27
# 59 F 16
# 60 M 41
# 61 F 2
# 62 M 9
# 63 F 14
# 64 M 11
# 65 F 24
# 66 M 31
# 67 F 30
# 68 M 29
# 69 F 28
# 70 M 17
# 71 F 26
# 72 M 27
#ID	FR	X	Y	Z
1	0	2.3473	1.5472	0.0000
1	1	2.3719	1.5484	0.0000
1	2	2.3968	1.5518	0.0000
1	3	2.4195	1.5572	0.0000
1	4	2.4430	1.5606	0.0000
1	5	2.4663	1.5660	0.0000
1	6	2.4900	1.5706	0.0000
1	7	2.5141	1.5736	0.0000
1	8	2.5384	1.5752	0.0000
1	9	2.5630	1.5727	0.0000
1	10	2.5887	1.5685	0.0000
1	11	2.6145	1.5635	0.0000
1	12	2.6399	1.5586	0.0000
1	13	2.6718	1.5549	0.0000
1	14	2.7034	1.5536	0.0000
1	15	2.7374	1.5548	0.0000
1	16	2.7708	1.5609	0.0000
1	17	2.8051	1.5684	0.0000
1	18	2.8365	1.5774	0.0000
1	19	2.8696	1.5850	0.0000
1	20	2.8984	1.5897	0.0000
1	21	2.9301	1.5934	0.0000
1	22	2.9592	1.5981	0.0000
1	23	2.9895	1.6020	0.0000
1	24	3.0158	1.6024	0.0000
1	25	3.0451	1.6036	0.0000
1	26	3.0720	1.6015	0.0000
1	27	3.0984	1.5960	0.0000
1	28	3.1255	1.5906	0.0000
1	29	3.1473	1.5825	0.0000
1	30	3.1703	1.5763	0.0000
1	31	3.1951	1.5697	0.0000
1	32	3.2171	1.5656	0.0000
1	33	3.2368	1.5652	0.0000
2	0	0.9847	1.5639	0.0000
2	1	0.9891	1.5628	0.0000
2	2	0.9928	1.5621	0.0000
2	3	0.9968	1.5613	0.0000
2	4	1.0012	1.5601	0.0000
2	5	1.0042	1.5593	0.0000
2	6	1.0070	1.5593	0.0000
2	7	1.0098	1.5590	0.0000
